web-scraper-order,web-scraper-start-url,reviewer,date,review,star,res
"1614875612-2518","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Bethany Mcpherson","May 22, 2019","I had fun playing it when I initially downloaded it. I made sure to log in with google games, but when I went back the next day my account was still logged in but it said there was no saved data to load. edit: after being contacted by the developer saying most log in bugs were fixed I redownloaded the game to play on only to find out that I still have no saved data and therefore cannot play on.","Rated 1 stars out of five stars","Giant NetworkMay 15, 2019Hi, Sorry about the it, a lot of had login problem. We suffered some network problem last two days.
Now, we might have worked it out, please try it again."
"1614875612-3685","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Axtasium","November 13, 2018","","Rated 2 stars out of five stars","Giant NetworkNovember 14, 2018pls try 4G network instead of WIFI, which is often unstable."
"1614875612-2270","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Karl Maier","March 11, 2020","Thoughtfully designed game. Core gameplay revolves around deck building. Great quality all around. Clean voice acting. A few grammar mistakes, but it has more depth than I expected. It's wonderful. In game purchases are mainly to expand playable characters and open a new epilogue section. If you have a few dollars to spend this game is worthwhile.","Rated 5 stars out of five stars","null"
"1614875612-2991","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Jesse Shelton","September 5, 2019","","Rated 5 stars out of five stars","null"
"1614875612-2144","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Rory Nathaniel Cash","October 28, 2019","Best mobile game I've ever played. Ads are totally optional and easy, graphics and story and music are interesting and the best part is there's always MORE. you can play over and over and unlock new levels, blessings, and little game tidbits. There's so much to do without spending money but if you want to buy expansions it's totally affordable! 99c for a whole new game style is exciting and enjoyable. I've had this for at least a year now I think and still have tons of gameplay left. Great work!","Rated 5 stars out of five stars","null"
"1614875612-3591","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Uncle Dave Does Drumming","February 25, 2019","","Rated 5 stars out of five stars","null"
"1614875612-2059","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","JemiQui77","August 19, 2019","literally a great game. easy to grasp as long as you take the time to read things. great story, love that each ending boss is a different piece of the story. the only issue i have run into is it has recently started freezing mid game...and also, when is the next update coming?? lol i need more new content. also, i see people saying oh its not really a free game...yes, it is, but just like the ones you pay 50+ for it has optional dlc. and if it's too hard, you're a wuss. just keep trying.","Rated 5 stars out of five stars","null"
"1614875612-4514","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Crimson Injustice","April 19, 2020","","Rated 4 stars out of five stars","null"
"1614875612-1619","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","William Morris","October 22, 2020","","Rated 5 stars out of five stars","null"
"1614875612-4359","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Ridge Jaco","September 20, 2018","","Rated 5 stars out of five stars","null"
"1614875612-2309","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Nathan Torres","November 11, 2019","The game is very fun to play. Its similar to the game Slay the Spire on PC but is unique in its own way. its a game where you can play for some time put down and easily come back to. It is more difficult because you have to really pay attention to enemies and thier abilites so you dont waste cards and actions. If you enjoy some adventure games thats like a quick card strategy it could be very good for you.","Rated 4 stars out of five stars","null"
"1614875612-1521","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Minister Laithen","September 12, 2020","","Rated 5 stars out of five stars","Giant NetworkSeptember 14, 2020Thanks for the feedback, there are rich game content, such as collection, exploration, various activities. I hope you can try our game, and we are confident that our game is attractive enough. I wish you a happy game ~"
"1614875612-1852","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","MorroEW","June 3, 2019","There are not enough words to say how amazing that game is! I recently got the full expansion pack and I am super happy! Firstly, all the different roles offer a great difference in play and strategy, with a great variety of new cards and stuff! Secondly, I cannot praise you enough, Giant Network, for making literally the only mobile game I've played in years that does not spam you with adverts and microtransactions. pay 5 quid once and you're set! Absolutely brilliant, can't recommend enough!!","Rated 5 stars out of five stars","null"
"1614875612-4611","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Wisnu W","April 2, 2020","","Rated 5 stars out of five stars","null"
"1614875612-5194","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Zbyněk Hořák","January 17, 2019","","Rated 5 stars out of five stars","null"
"1614875612-3155","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Chanin Changsri","July 19, 2020","","Rated 5 stars out of five stars","Giant NetworkJuly 20, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"1614875612-2140","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Leslie Baquirin","November 1, 2020","","Rated 2 stars out of five stars","Giant NetworkNovember 3, 2020Please send your thoughts to our email address: nofmgame@hotmail.com We will continue to work hard！"
"1614875612-2723","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Aubrey Mandichak","June 7, 2019","","Rated 5 stars out of five stars","null"
"1614875612-2191","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","James","May 16, 2020","Different and fun: I am new to these types of games but have had experience with tabletop gaming such as Magic: the Gathering and Dungeons and Dragons; so the concepts were easy to understand. I have picked up the idea of the deck building quickly and have just finished all of the characters including the DLC ones on normal mode, now beginning to work through the higher levels of difficulty. It is a very fun game that you can complete through the three stages to the final boss in roughly 1 hour.","Rated 4 stars out of five stars","null"
"1614875612-1580","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Frank Torres","October 21, 2020","","Rated 5 stars out of five stars","Giant NetworkOctober 22, 2020Hello. Thank you for supporting us! You can join our community activities and have the opportunity to unlock new content for free. FB: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"1614875612-3534","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Benjamin Watson","August 22, 2019","","Rated 5 stars out of five stars","null"
"1614875612-1083","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Cleveland Donald","January 24, 2021","A Fun, arcadey, card roguelike. I've been everything, unlocked all achievements and still go back to replay constantly. It's a game that is well tailored to mobile gaming. I wish there were more like it. While there are other roguelike card games, this one is a bit more arcade like, in that it builds up quickly, each class is widely different, and you are not limited to very low energy amounts. Each playthrough is a chance to dominate or be dominated! I can't wait for the next update!","Rated 5 stars out of five stars","Giant NetworkJanuary 29, 2021Good day to you! Thank you for your feedback Because our main goal is to provide everyone with the best gaming experience, we are going to keep your input in mind."
"1614875612-1290","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Chriz Rodriguez","September 16, 2020","Very addictive rogue like card game if you are a fan of yugioh or any card games and rogue genre you will have fun. The story and setting is very interesting, dark, mysterious and engaging. Only complaint is you cant unlock other clases unless you pay which isnt really bad since its one dollar. Only wish you could have the opportunity to unlock one class to see how much each class brings or a one time trial. Definitely give this game a try.","Rated 5 stars out of five stars","Giant NetworkSeptember 18, 2020Thank you for your lovely comment. This means a lot to us! If there is any issue or suggestion, please feel free to reach us on Facebook at FB: https://www.facebook.com/NightofFullMoonCardGame/. Or mail at nofmgame@hotmail.com. Have fun gaming!"
"1614875612-3530","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Stef van der Vleuten","January 21, 2019","","Rated 5 stars out of five stars","null"
"1614875612-1589","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Steve Garrison","September 14, 2020","","Rated 2 stars out of five stars","Giant NetworkSeptember 14, 2020Hello. Thank you for supporting us! You can join our community activities and have the opportunity to unlock new content for free. FB: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"1614875612-4973","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","James McIrvin","April 2, 2019","","Rated 5 stars out of five stars","null"
"1614875612-3590","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","marion dobie","October 24, 2020","","Rated 5 stars out of five stars","null"
"1614875612-2132","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Justice Rosa","June 13, 2019","Its great! But there is just not enough free content to truly test the game. The game randomly generates each chapter (or level), though there are set encounters that'll happen no matter what. You are only offered one free class to play as. And sadly, after multiple playthroughs, this one singular class does not offer enough gameplay deviation to keep the player invested in the long term. and the skill tree doesn't help with that. The prices look very reasonable, and I'll update this if I buy.","Rated 4 stars out of five stars","null"
"1614875612-2801","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Ross Hamilton","January 22, 2019","","Rated 5 stars out of five stars","null"
"1614875612-3335","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Steven Burton","January 2, 2020","","Rated 5 stars out of five stars","null"
"1614875612-3449","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Bartek Miniszewski","May 3, 2019","","Rated 5 stars out of five stars","null"
"1614875612-5171","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","SS","May 16, 2019","","Rated 3 stars out of five stars","null"
"1614875612-2365","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Tara Crowley","March 19, 2019","Beautiful art, with fun writing and voice acting. It does frequently prompt for watching ads to get extra rewards; I prefer my games ad-free, especially those I pay for. It does cloud save and you can close the game anytime, returning to the same place later. Story rich. Only one class is playable for free.","Rated 4 stars out of five stars","null"
"1614875612-4891","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Milan Radovanovic","August 18, 2019","","Rated 5 stars out of five stars","null"
"1614875612-3540","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","z y","November 4, 2018","","Rated 4 stars out of five stars","null"
"1614875612-3997","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Ervin Buena","June 13, 2020","","Rated 2 stars out of five stars","Giant NetworkJune 15, 2020This is the Rogue like game. We hope you will like it."
"1614875612-4478","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","gadge olsen","July 28, 2019","","Rated 3 stars out of five stars","null"
"1614875612-1140","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Norbert","December 19, 2020","","Rated 3 stars out of five stars","null"
"1614875612-1416","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Nolan","October 23, 2020","","Rated 5 stars out of five stars","null"
"1614875612-2613","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","R A","September 19, 2019","As good as Slay the Spire. The free version doesn't bombard you with ads and has plenty of content. I bought the full version after a week and there is so much to do. If you like Slay the Spire, you will love this. The runs start a bit slow, but quicky you build a hand and it's a ton of fun. Well worth every penny.","Rated 5 stars out of five stars","null"
"1614875612-4376","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Hyeonseok Oh","September 20, 2018","","Rated 5 stars out of five stars","null"
"1614875612-4071","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Fung Tony","September 23, 2018","","Rated 5 stars out of five stars","null"
"1614875612-5049","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Trenton Cary","October 11, 2020","","Rated 5 stars out of five stars","null"
"1614875612-2705","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Αγγελος Μπαλλιου","June 12, 2020","Very nice take on a classic story with elegant mechanics on the card game. played on normal which was forgiving and actually enjoyed it very much. I only did my first run (unlocked the witch part of the story) but I already see the replayability value of this game and I love the 'classes' variation of RRH. Definitely would suggest it.","Rated 5 stars out of five stars","Giant NetworkJune 15, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"1614875612-4272","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","MrSammyb0y","April 22, 2019","I straight up hate this game. It was fun... at first. Now it's a joke. If you don't make the right decisions, you will lose. The worst part about all of this is the fact that you have no clue who you will face. This is the worst combat card game I've played. Don't invest in this. It will save you from rage later on.","Rated 1 stars out of five stars","null"
"1614875612-4917","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Quaxitos","December 17, 2018","","Rated 4 stars out of five stars","null"
"1614875612-5098","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Abigail Brown","August 1, 2020","","Rated 3 stars out of five stars","Giant NetworkAugust 3, 2020Thank you for supporting us! We apologize for any inconvenience caused. We promise to give you a better gaming experience in the future! Do enjoy the game and please rate for us again! Thank you :D"
"1614875612-3456","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Fenuay S","April 13, 2020","","Rated 4 stars out of five stars","null"
"1614875612-4087","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Vince Laza","January 6, 2019","","Rated 3 stars out of five stars","null"
"1614875612-3194","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","EZM","October 1, 2018","","Rated 5 stars out of five stars","null"
"1614875612-4194","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Sarah Laine","September 16, 2018","","Rated 1 stars out of five stars","null"
"1614875612-4759","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Eðvarð Arnór Sigurðsson","December 11, 2018","","Rated 5 stars out of five stars","null"
"1614875612-2655","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Marius Jensen","December 19, 2018","","Rated 4 stars out of five stars","null"
"1614875612-1898","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","TraiIs","January 6, 2019","I absolutely love this game. It is free but spending $5 to unlock all classes and to support the developers is worth it. It has amazing art, beautiful sound and an engaging gameplay loop which will always make you come back for more. I highly recommend this game for people who love rogue like card games. <3 you Giant Network and looking forward to more of your work.","Rated 5 stars out of five stars","null"
"1614875612-3736","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Boris Belák","September 22, 2018","","Rated 5 stars out of five stars","null"
"1614875612-1641","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Joshua Rivera","September 29, 2020","","Rated 5 stars out of five stars","null"
"1614875612-3135","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","A Google user","February 28, 2019","","Rated 4 stars out of five stars","null"
"1614875612-2380","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Miriam Asar","March 3, 2019","Changing my review to 5 stars. Previously reviewed it 3-4 stars because the game was unbalanced but the developers clearly took into account the feedback. Winning can still be a challenge but now it feels like a satisfying and achievable reward with enough strategy. I recommend paying to unlock the other characters - my favourite is Little Witch.","Rated 5 stars out of five stars","null"
"1614875612-2862","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Kai Kings","October 6, 2018","","Rated 5 stars out of five stars","null"
"1614875612-1973","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Timo Dempwolf","October 2, 2019","The game is just great. When I first started playing I just got hooked. The artwork is amazing and all the classes feel really different. I was happy to pay the price for all DLCs as this feels a lot more like a full game then a mobile app. I have put more then 50 hours into this game getting all the achievements first for the normal mode and now also for diaries. Diaries as the newest addition is an ok update it cannot keep up wit the original as the whole mode feels to random in my opinion.","Rated 5 stars out of five stars","null"
"1614875612-4103","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Markos Stinis","September 14, 2018","","Rated 5 stars out of five stars","null"
"1614875612-3842","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Laughing man788","October 5, 2018","","Rated 5 stars out of five stars","null"
"1614875612-5075","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","domo kun","March 28, 2020","","Rated 3 stars out of five stars","Giant NetworkApril 1, 2020Sorry to hear this.  I hope you can enjoy our app again in the future."
"1614875612-2524","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Nicola R","May 1, 2020","Edit 2nd May 2020: there seems to have been an update to the app where on launch it now says my resource file isnt complete and needs to be downloaded. However it will not download the file so the app is now unusable. It's a shame because if it didnt have this major problem it would be 5 stars. Original review: Great game, cute graphics, with great reply value even without unlocking any DLC. Small note is that ""different"" is spelt incorrectly on the Entangled description :)","Rated 1 stars out of five stars","Giant NetworkMay 1, 2020Sorry for the problem. You can go to File Management-Mobile Storage-Android-obb-com.ztgame.yyzy to see if there is an .obb file. Delete this file and re-enter the game to see if you can open the game normally. If not,please re-download the game."
"1614875612-2606","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Just Haku","June 19, 2020","Phenomenal game with lots of different and inventive play styles. Ads don't get in the way of gameplay and you can play offline with 0 trouble. If you like the main gameplay offered with the fighter class it's well worth the 7$ to unlock all characters as it greatly expands the replayability, there are a few spelling errors on some of the card descriptions and I wish I could play more then 3 chapters but this game has given me countless hours of fun and I hope they keep adding new content!","Rated 4 stars out of five stars","Giant NetworkJune 19, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"1614875612-1450","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Alex Ng","January 3, 2021","","Rated 5 stars out of five stars","Giant NetworkJanuary 4, 2021Welcome to join our community activities and have the opportunity to unlock new content for free. FB: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"1614875612-1058","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","hey :D","February 12, 2021","","Rated 5 stars out of five stars","Giant NetworkFebruary 19, 2021We are sorry to hear that you feel this way. Please reach us with your idea on Facebook: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"1614875612-4029","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","ragegamer On the low","December 23, 2019","","Rated 3 stars out of five stars","null"
"1614875612-1514","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Antonio Watson","September 26, 2020","","Rated 4 stars out of five stars","Giant NetworkSeptember 29, 2020Thank you for your lovely comment. This means a lot to us! If there is any issue or suggestion, please feel free to reach us on Facebook at FB: https://www.facebook.com/NightofFullMoonCardGame/. Or mail at nofmgame@hotmail.com. Have fun gaming!"
"1614875612-4890","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","A Google user","September 25, 2018","","Rated 5 stars out of five stars","null"
"1614875612-3276","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Mattias Hermansson","October 20, 2018","","Rated 5 stars out of five stars","null"
"1614875612-5096","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Joshua B","April 7, 2020","","Rated 3 stars out of five stars","null"
"1614875612-2146","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Rice","January 26, 2019","It is truly one of the best mobile games out yet! A slay the spire style game with a wide variety of cards, blessings(buffs) and enemies/bosses who are voiced. The game features choices ingame which impact on the final boss you can fight (to my knowledge there are 5 final bosses, though i am not too far into the game). There is also a 'skill-tree' which enhances your experience and allows for more power. On top of all that there are different decks you can start off with. Great animations & art.","Rated 5 stars out of five stars","null"
"1614875612-1363","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Sad Dragon","December 23, 2020","","Rated 5 stars out of five stars","Giant NetworkDecember 25, 2020Hello！We're so happy to hear that you have fun playing our game. Please be sure to rate us more stars if you like it. And, for free contents and honors, be sure to join our 30,000 fans on FB:https://www.facebook.com/NightofFullMoonCardGame/ Thank you for your review ^_^. Have a wonderful day and best of luck at our game! ^_^"
"1614875612-1011","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Brandon Healy","February 17, 2021","This game is really fun. Like REALLY fun. Addicting too. Simply put, the only reason I am not giving it 5 stars is there is a small pay wall to access the other classes, and the replayability of the standard game mode is lacking in my opinion. That being said, for < $10 of what I spent totally on this game, I've certainly gotten plenty of time out of it.","Rated 4 stars out of five stars","Giant NetworkFebruary 19, 2021Thank you for your lovely comment. This means a lot to us! If there is any issue or suggestion, please feel free to reach us on Facebook at FB: https://www.facebook.com/NightofFullMoonCardGame/. Or mail at nofmgame@hotmail.com. Have fun gaming!"
"1614875612-2511","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Tal Cohen","May 18, 2020","I played the earlier version of this game and didn't like it nearly as much as how the game is now. I love this game, from the animations, to the combat, to the characters and how they relate to one another. There's a deeper and charming backstory to almost every character in the game. Even without having to buy any of the extra content from the game, you can still get a really fun and immersive experience. I highly recommend this game to everyone, give it a go.","Rated 5 stars out of five stars","null"
"1614875612-2821","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Christopher Kessinger","November 29, 2019","","Rated 4 stars out of five stars","null"
"1614875612-1806","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Roman Markeyev","September 29, 2018","TL;dr: game is fine with the only free character, but it has a lot of big design flaws. Best free game on mobile, but still a pile of sh. Go play ""Slay the Spire"" instead. Speaking of ""Slay the Spire"", one thing developers of it understand is the rule of defense. In order to play such game you need defensive cards in addition to offensive ones. This is not the case for ""Night of the Full Moon"". Defensive cards are hard to come by, they don't do their job very well and half of the time you can't even play them. Why wouldn't you be able to play them you may ask? Simple! The enemies are broken. It is felt the most with bosses. You can't use actions against them. You can't use items against them. And the attacks won't save you from all the damage they deal. Still, this is the best free game on mobile that is not a puzzle. Just don't fight the final bosses.","Rated 2 stars out of five stars","null"
"1614875612-4732","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Zakariah Luna","November 7, 2019","","Rated 5 stars out of five stars","null"
"1614875612-3137","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Scream Forme","September 14, 2018","","Rated 3 stars out of five stars","null"
"1614875612-4411","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Jake Mitchell","June 5, 2020","","Rated 5 stars out of five stars","Giant NetworkJune 5, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"1614875612-4752","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","xeron thedarklord","September 14, 2018","","Rated 5 stars out of five stars","null"
"1614875612-3524","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Lonchi Leaina","September 5, 2020","","Rated 5 stars out of five stars","null"
"1614875612-2409","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Apis Baini","July 4, 2020","I hope there are other ways to unlock the other class without spending real money,but I understand that they need money to develop this game.Beaten all the character,love the graphic,gameplay is simple but challenging,love the story,love the different difficulty.But consider giving one more character class for free😁 just so the player have other choice other than just the standard one.","Rated 5 stars out of five stars","Giant NetworkJuly 6, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"1614875612-3730","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Benjamin Perkins","April 11, 2020","","Rated 5 stars out of five stars","null"
"1614875612-3436","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Joseph Laub","February 2, 2020","","Rated 5 stars out of five stars","null"
"1614875612-3866","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Micheal Yeboah-Akordie","July 17, 2020","","Rated 5 stars out of five stars","Giant NetworkJuly 20, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"1614875612-2431","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Kitty Sible","July 18, 2020","I love this game...very frustrating sometimes while learning the game play. Accidentally deleted my best card! That aside, it is really great graphics, storyline and characters are so well done. The neat part is your decisions drive the story. Very imaginative. I will be playing this game, and the Diaries as well, for a very long time.","Rated 5 stars out of five stars","Giant NetworkJuly 20, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"1614875612-2290","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Angela Malzow","April 30, 2020","This game is amazing. I come back to it regularly to beat the theme next levels of difficulty. I find the ad system fair and not nearly as irritating as many games. I've purchased all of the addition content and found it to be well worth the money. I do find it difficult to build different decks. I tend to find a build that works and keep aiming for it since those cards come up more frequently. It leaves me to assume that all cards work together so you might only find one or two power builds","Rated 5 stars out of five stars","null"
"1614875612-4818","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","James Saxe","November 3, 2018","","Rated 5 stars out of five stars","null"
